#organism	abbrev	total genes	total length	num chr	institution	reference	rel. date	mod. date	update	gtps	refseq	gbk(genbank)	source
Mycobacterium leprae Br4923	mlb	2,501	3,268,071	1	Institut Pasteur	Unpublished	2009-01-11	2015-02-07	2016-05-19		NC_011896	FM211192	refseq
Mycobacterium leprae TN	mle	2,213	3,268,203	1	Welcome Trust Sanger Institute	Nature 409 (6823), 1007-1011 (2001)	2001-02-22	2015-04-15	2016-05-19		NC_002677	AL450380	refseq
Mycobacterium liflandii 128FXT	mli	4,914	6,399,543	2	Monash University	J. Bacteriol. 195 (3), 556-564 (2013)	2008-10-13	2015-02-07	2016-05-19		NC_020133,NC_011355	CP003899,EU271968	refseq
Mycobacterium marinum E11	gm03143	5,244	6,399,402	2		Unpublished	2014-05-27	2015-03-15	2016-05-19		NZ_HG917972,NZ_HG917973	HG917972,HG917973	gbk
Mycobacterium marinum M	mmi	5,654	6,660,144	2	Wellcome Trust Sanger Institute	(er) Genome Res. (2008) In press	2008-04-15	2015-02-07	2016-05-19		NC_010612,NC_010604	CP000854,CP000895	refseq
Mycobacterium neoaurum VKM Ac-1815D	mne	5,018	5,438,192	1		Unpublished	2012-12-05	2014-07-14	2016-05-19		NC_023036	CP006936	refseq
Mycobacterium rhodesiae NBB3	mrh	6,026	6,415,739	1	JGI	Unpublished	2011-12-12	2015-02-07	2016-05-19		NC_016604	CP003169	refseq
Mycobacterium sp. JDM601	mjd	4,538	4,643,668	1	Chinese National Human Genome Center at Shanghai	J. Bacteriol. 193 (16), 4300-4301 (2011)	2011-05-20	2015-02-07	2016-05-19		NC_015576	CP002329	refseq
Mycobacterium smegmatis INHR1	gm04363	6,549	6,988,337	1		Unpublished	2014-10-22	2015-03-19	2016-05-19		NZ_CP009495	CP009495	refseq
Mycobacterium smegmatis INHR2	gm04364	6,551	6,988,302	1		Unpublished	2014-10-22	2015-02-09	2016-05-19		NZ_CP009496	CP009496	refseq
Mycobacterium smegmatis JS623	msa	6,867	7,221,766	4	JGI	Unpublished	2012-12-27	2015-02-07	2016-05-19		NC_019966,NC_019957,NC_019958,NC_019959	CP003078,CP003079,CP003080,CP003081	refseq
Mycobacterium smegmatis MC2 155	msm	6,892	6,988,209	1	TIGR	Submitted (29-NOV-2006) National Center for Biotechnology	2006-11-20	2014-12-17	2015-04-24		NC_008596	CP000480	refseq
Mycobacterium smegmatis MC2 155	msg	6,537	6,988,208	1	Institute of Genetics and Molecular and Cellular Biology	Genome Res. 19 (1), 128-135 (2009)	2012-08-03	2015-03-26	2016-05-19		NC_018289	CP001663	refseq
Mycobacterium smegmatis MC2 155	gm04365	6,550	6,988,269	1		Unpublished	2014-10-22	2015-03-19	2016-05-19		NZ_CP009494	CP009494	refseq
Mycobacterium sp. EPa45	gm04366	5,748	6,177,406	1		Genome Announc (2015) In press	2015-06-08	2015-06-09	2016-05-19		NZ_CP011773	CP011773	refseq
Mycobacterium sp. JLS	mjl	5,872	6,048,425	1	DOE Joint Genome Institute	Unpublished	2007-02-27	2015-02-07	2016-05-19		NC_009077	CP000580	refseq
Mycobacterium sp. KMS	mkm	6,096	6,256,079	3	DOE Joint Genome Institute	Unpublished	2006-12-20	2015-02-07	2016-05-19		NC_008705,NC_008703,NC_008704	CP000518,CP000519,CP000520	refseq
Mycobacterium sp. MCS	mmc	5,734	5,920,523	2	DOE Joint Genome Institute	Unpublished	2006-06-09	2015-02-07	2016-05-19		NC_008146,NC_008147	CP000384,CP000385	refseq
Mycobacterium sp. MOTT36Y	mmm	5,014	5,613,626	1	Seoul National University College of Medicine	J. Bacteriol. 194 (15), 4141-4142 (2012)	2012-05-09	2015-02-07	2016-05-19		NC_017904	CP003491	refseq
Mycobacterium sp. VKM Ac-1817D	gm04367	5,925	6,324,222	1		J. Steroid Biochem. Mol. Biol. 138, 41-53 (2013)	2014-11-25	2015-02-16	2016-05-19		NZ_CP009914	CP009914	refseq
Mycobacterium africanum GM041182	maf	4,269	4,389,314	1	Wellcome Trust Sanger Insititute	Unpublished	2011-07-05	2015-03-04	2016-05-19		NC_015758	FR878060	refseq
Mycobacterium bovis ATCC BAA-935	gm04356	3,918	4,358,088	1		Unpublished	2014-09-26	2015-03-19	2016-05-19		NZ_CP009449	CP009449	refseq
Mycobacterium bovis AF2122/97	mbo	4,220	4,345,492	1	Welcome Trust Sanger Institute	Proc. Natl. Acad. Sci. USA 100, 7877-7882 (2003)	2003-06-24	2014-12-16	2015-04-24		NC_002945	BX248333	refseq
Mycobacterium bovis BCG 3281	gm04357	3,925	4,410,431	1		Unpublished	2015-06-30	2015-07-09	2016-05-19		NZ_CP008744	CP008744	refseq
Mycobacterium bovis BCG str. ATCC 35743 63839	gm03384	3,879	4,334,064	1		J. Bacteriol. 193 (12), 3152-3153 (2011)	2011-03-28	2015-02-16	2016-05-19		NZ_CP003494	CP003494	gbk
Mycobacterium bovis BCG Korea 1168P	mbk	3,930	4,376,711	1	Korean Institute of Tuberculosis	Unpublished	2013-02-08	2015-02-07	2016-05-19		NC_020245	CP003900	refseq
Mycobacterium bovis BCG Mexico	mbm	3,934	4,350,386	1	Universidad Nacional Autónoma de México	BMC Genomics 12, 493 (2011)	2011-11-09	2015-02-07	2016-05-19		NC_016804	CP002095	refseq
Mycobacterium bovis BCG Moreau RDJ	gm04358	3,948	4,340,116	1		J. Bacteriol. 193 (19), 5600-5601 (2011)	2011-07-25	2015-04-03	2016-05-19		NZ_AM412059	AM412059	refseq
Mycobacterium bovis BCG Pasteur 1173P2	mbb	4,264	4,374,522	1	Institut Pasteur	Proc. Natl. Acad. Sci. U.S.A. 104 (13), 5596-5601 (2007)	2007-01-08	2015-03-04	2016-05-19		NC_008769	AM408590	refseq
Mycobacterium bovis Tokyo 172	mbt	4,265	4,371,711	1	Japan BCG Laboratory	Vaccine 27 (11), 1710-1716 (2009)	2009-03-09	2015-02-07	2016-05-19		NC_012207	AP010918	refseq
Mycobacterium canettii CIPT 140010059	mce	4,284	4,482,059	1	Wellcome Trust Sanger Insititute	Unpublished	2011-07-14	2015-02-07	2016-05-19		NC_015848	HE572590	refseq
Mycobacterium canettii CIPT 140060008	mcq	3,969	4,432,426	1	Genoscope CEA	Submitted (27-DEC-2012) National Center for Biotechnology	2012-12-19	2015-02-07	2016-05-19		NC_019950	FO203507	refseq
Mycobacterium canettii CIPT 140070008	mcv	3,938	4,420,197	1	Genoscope CEA	Submitted (27-DEC-2012) National Center for Biotechnology	2012-12-19	2015-02-07	2016-05-19		NC_019965	FO203508	refseq
Mycobacterium canettii CIPT 140070010	mcx	3,961	4,525,948	1	Genoscope CEA	Submitted (27-DEC-2012) National Center for Biotechnology	2012-12-19	2015-02-07	2016-05-19		NC_019951	FO203509	refseq
Mycobacterium canettii CIPT 140070017	mcz	3,933	4,524,466	1	Genoscope CEA	Submitted (27-DEC-2012) National Center for Biotechnology	2012-12-19	2015-02-07	2016-05-19		NC_019952	FO203510	refseq
Mycobacterium tuberculosis 0B049XDR	gm02978	2,030	4,539,433	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008971	gbk
Mycobacterium tuberculosis 0B076XDR	gm02979	2,473	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008969	gbk
Mycobacterium tuberculosis 0A005DS	gm02980	2,477	4,539,433	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008983	gbk
Mycobacterium tuberculosis 0A036DS	gm02981	2,663	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008979	gbk
Mycobacterium tuberculosis 0B169XDR	gm02986	2,946	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008967	gbk
Mycobacterium tuberculosis 0B026XDR	gm02988	3,251	4,539,433	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008972	gbk
Mycobacterium tuberculosis 0B222DS	gm02989	3,269	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008965	gbk
Mycobacterium tuberculosis 0A115DS	gm02990	3,282	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008974	gbk
Mycobacterium tuberculosis 0A117DS	gm02993	3,363	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008973	gbk
Mycobacterium tuberculosis 0B218DS	gm02994	3,408	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008966	gbk
Mycobacterium tuberculosis 0B229DS	gm02995	3,455	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008963	gbk
Mycobacterium tuberculosis 0B228DS	gm02996	3,480	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008964	gbk
Mycobacterium tuberculosis 0B235DS	gm02997	3,562	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008962	gbk
Mycobacterium tuberculosis 0A033DS	gm03001	3,682	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008980	gbk
Mycobacterium tuberculosis 0A093DS	gm03002	3,725	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008976	gbk
Mycobacterium tuberculosis 0A094DS	gm03003	3,727	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008975	gbk
Mycobacterium tuberculosis 0A092DS	gm03004	3,737	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008977	gbk
Mycobacterium tuberculosis 0A087DS	gm03005	3,750	4,539,435	1		Unpublished	2014-07-29	2014-07-29	2015-04-24			CP008978	gbk
Mycobacterium tuberculosis 0A029DS	gm03007	3,918	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008981	CP008981	gbk
Mycobacterium tuberculosis 0A012DS	gm03008	3,918	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008982	CP008982	gbk
Mycobacterium tuberculosis 0B070XDR	gm03009	3,907	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008970	CP008970	gbk
Mycobacterium tuberculosis 0B329XDR	gm03010	3,936	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008960	CP008960	gbk
Mycobacterium tuberculosis 0B123ND	gm03011	3,924	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008968	CP008968	gbk
Mycobacterium tuberculosis 0B259XDR	gm03012	3,950	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008961	CP008961	gbk
Mycobacterium tuberculosis 6A024XDR	gm03013	3,977	4,539,435	1		Unpublished	2014-07-29	2014-12-26	2016-05-19		NZ_CP008959	CP008959	gbk
Mycobacterium tuberculosis KIT87190	gm03374	3,991	4,410,788	1		Genome Announc 2 (5) (2014)	2014-06-13	2015-03-19	2016-05-19		NZ_CP007809	CP007809	gbk
Mycobacterium tuberculosis ZMC13-264	gm03375	3,975	4,411,507	1		Genome Announc 2 (5) (2014)	2014-08-07	2015-03-19	2016-05-19		NZ_CP009100	CP009100	gbk
Mycobacterium tuberculosis ZMC13-88	gm03376	3,981	4,411,515	1		Genome Announc 2 (5) (2014)	2014-08-07	2015-03-19	2016-05-19		NZ_CP009101	CP009101	gbk
Mycobacterium tuberculosis Beijing-like	gm04368	3,840	4,411,216	1		Unpublished	2015-03-17	2015-03-20	2016-05-19		NZ_CP010873	CP010873	refseq
Mycobacterium tuberculosis 96075	gm04369	3,989	4,379,376	1		Genome Announc 2 (6) (2014)	2014-09-22	2015-03-19	2016-05-19		NZ_CP009426	CP009426	refseq
Mycobacterium tuberculosis 96121	gm04370	3,993	4,410,945	1		Genome Announc 2 (6) (2014)	2014-09-22	2015-03-19	2016-05-19		NZ_CP009427	CP009427	refseq
Mycobacterium tuberculosis 18b	gm04371	4,006	4,411,953	1		Unpublished	2015-02-10	2015-02-12	2016-05-19		NZ_CP007299	CP007299	refseq
Mycobacterium tuberculosis 49-02	gm04372	4,012	4,412,379	1		Unpublished	2014-11-03	2015-03-19	2016-05-19		NZ_HG813240	HG813240	refseq
Mycobacterium tuberculosis 7199-99	mtub	4,024	4,421,197	1	Center for Biotechnology, Bielefeld University	PLoS Med. 10 (2), E1001387 (2013)	2013-01-07	2015-02-07	2016-05-19		NC_020089	HE663067	refseq
Mycobacterium tuberculosis BT1	mtut	4,006	4,399,405	1		Unpublished	2014-02-18	2015-03-19	2016-05-19		NZ_CP002883	CP002883	gbk
Mycobacterium tuberculosis BT2	mtuu	3,997	4,401,899	1		Unpublished	2014-02-18	2015-03-19	2016-05-19		NZ_CP002882	CP002882	gbk
Mycobacterium tuberculosis CAS/NITR204	mtuc	3,959	4,392,876	1	National Institute of Tuberculosis Research, Chennai, India	Unpublished	2013-05-08	2014-12-18	2015-04-24		NC_021193	CP005386	refseq
Mycobacterium tuberculosis CCDC5079	mte	4,424	4,398,812	1	Beijing Genomics institute and National Institue for Communicable Disease Control and Prevention	J. Bacteriol. 193 (19), 5591-5592 (2011)	2011-07-05	2015-02-17	2016-05-19		NC_017523	CP001641	refseq
Mycobacterium tuberculosis CCDC5079	mtur	4,017	4,414,325	1	National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Contr	BMC Genomics 14, 289 (2013)	2013-05-20	2015-02-07	2016-05-19		NC_021251	CP002884	refseq
Mycobacterium tuberculosis CCDC5180	mtl	4,333	4,405,981	1	Beijing Genomics institute and National Institue for Communicable Disease Control and Prevetion	J. Bacteriol. 193 (19), 5591-5592 (2011)	2011-07-05	2015-02-09	2016-05-19		NC_017522	CP001642	refseq
Mycobacterium tuberculosis CCDC5180	gm03399	4,011	4,414,346	1		Unpublished	2014-02-18	2015-03-19	2016-05-19		NZ_CP002885	CP002885	gbk
Mycobacterium tuberculosis CDC1551	mtc	4,300	4,403,837	1	TIGR	J Bacteriol. 2002 Oct;184(19):5479-90.	2001-10-02	2015-02-09	2016-05-19		NC_002755	AE000516	refseq
Mycobacterium tuberculosis CTRI-2	mto	4,306	4,398,525	1	Research Institute for Physical-Chemical Medicine, Moscow, Russia	Unpublished	2011-08-25	2015-02-09	2016-05-19		NC_017524	CP002992	refseq
Mycobacterium tuberculosis EAI5	mtx	4,007	4,391,174	1		Unpublished	2013-07-11	2015-02-07	2016-05-19		NC_021740	CP006578	refseq
Mycobacterium tuberculosis EAI5/NITR206	mtue	3,876	4,390,306	1	National Institute of Tuberculosis Research, Chennai, India	Unpublished	2013-05-08	2015-02-07	2016-05-19		NC_021194	CP005387	refseq
Mycobacterium tuberculosis F11	mtf	4,318	4,424,435	1	Broad Institute	Unpublished	2007-06-07	2015-02-09	2016-05-19		NC_009565	CP000717	refseq
Mycobacterium tuberculosis H37Ra; ATCC 25177	mra	4,329	4,419,977	1	Chinese National HGC, Shanghai	Unpublished	2007-06-01	2015-02-07	2016-05-19		NC_009525	CP000611	refseq
Mycobacterium tuberculosis H37Rv	mtu	4,269	4,411,532	1	Welcome Trust Sanger Institute	Nature 393 (6685), 537-544 (1998)	1998-06-11	2015-05-14	2016-05-19		NC_000962	AL123456	refseq
Mycobacterium tuberculosis H37Rv	mtv	4,035	4,411,709	1	Broad Institute	Unpublished	2012-07-12	2015-02-07	2016-05-19		NC_018143	CP003248	refseq
Mycobacterium tuberculosis H37Rv H37Rv; TMC 102	gm04373	4,011	4,396,119	1		Unpublished	2014-09-26	2015-02-07	2016-05-19		NZ_CP009480	CP009480	refseq
Mycobacterium tuberculosis H37RvSiena	gm04374	4,034	4,410,911	1		Unpublished	2015-01-21	2015-02-07	2016-05-19		NZ_CP007027	CP007027	refseq
Mycobacterium tuberculosis HKBS1	mtq	4,004	4,407,929	1		Unpublished	2014-02-18	2015-03-19	2016-05-19		NZ_CP002871	CP002871	gbk
Mycobacterium tuberculosis K	gm03394	3,991	4,385,518	1		Unpublished	2014-06-05	2015-03-19	2016-05-19		NZ_CP007803	CP007803	gbk
Mycobacterium tuberculosis KZN 1435	mtb	4,311	4,398,250	1	Broad Institute	Unpublished	2009-07-09	2015-02-09	2016-05-19		NC_012943	CP001658	refseq
Mycobacterium tuberculosis KZN 4207	mtk	4,292	4,394,985	1	NCBI	Unpublished	2011-04-07	2015-03-01	2016-05-19		NC_016768	CP001662	refseq
Mycobacterium tuberculosis KZN 605	mtz	3,997	4,399,120	1	Broad Institute	Unpublished	2012-06-19	2015-02-09	2016-05-19		NC_018078	CP001976	refseq
Mycobacterium tuberculosis RGTB327	mtg	3,691	4,380,119	1	Rajiv Gandhi Centre for Biotechnology	Submitted (26-MAR-2012) National Center for Biotechnology	2012-03-20	2013-07-06	2015-04-24		NC_017026	CP003233	refseq
Mycobacterium tuberculosis RGTB423	mti	3,622	4,406,587	1	Rajiv Gandhi Centre for Biotechnology	Submitted (10-APR-2012) National Center for Biotechnology	2012-03-20	2013-06-11	2015-04-24		NC_017528	CP003234	refseq
Mycobacterium tuberculosis UT205	mtd	4,063	4,418,088	1	CNSG, CCITB	Unpublished	2012-02-24	2015-02-23	2016-05-19		NC_016934	HE608151	refseq
Mycobacterium tuberculosis Beijing/NITR203	mtj	3,929	4,411,128	1	National Institute of Tuberculosis Research, Chennai, India	Unpublished	2013-04-15	2015-02-09	2016-05-19		NC_021054	CP005082	refseq
Mycobacterium tuberculosis str. Erdman = ATCC 35801 Erdman (ATCC35801)	mtn	4,010	4,392,353	1	National Center for Global Health and Medicine	J. Bacteriol. 194 (10), 2770 (2012)	2012-03-02	2015-03-04	2016-05-19		NC_020559	AP012340	refseq
Mycobacterium tuberculosis Haarlem	mtul	4,012	4,408,224	1		Unpublished	2010-10-15	2015-02-07	2016-05-19		NC_022350	CP001664	refseq
Mycobacterium tuberculosis Haarlem/NITR202	mtuh	3,680	4,404,786	1	National Institute of Tuberculosis Research, Chennai, India	Unpublished	2013-05-08	2014-12-18	2015-04-24		NC_021192	CP004886	refseq
Mycobacterium tuberculosis Kurono	gm04375	4,029	4,415,078	1		Tuberculosis (Edinb) 95 (1), 37-39 (2015)	2014-12-23	2015-03-24	2016-05-19		NZ_AP014573	AP014573	refseq
Mycobacterium ulcerans Agy99	mul	5,409	5,805,761	2	Institut Pasteur	Genome Res. (2007) In press	2006-12-01	2014-12-16	2015-04-24		NC_008611	CP000325	refseq
Mycobacterium vanbaalenii PYR-1	mva	6,308	6,491,865	1	DOE Joint Genome Institute	Unpublished	2006-12-27	2015-02-07	2016-05-19		NC_008726	CP000511	refseq
Nocardia brasiliensis ATCC 700358 HUJEG-1	nbr	8,358	9,436,348	1	Servicio de Dermatología, Hospital Universitario, U.A.N.L.,  Monterrey, N.L., México	J. Bacteriol. 194 (10), 2761-2762 (2012)	2012-09-28	2015-02-07	2016-05-19		NC_018681	CP003876	refseq
Nocardia cyriacigeorgica GUH-2	ncy	5,475	6,194,645	1	CEA/DSV/IG/Genoscope	Submitted (15-FEB-2012) National Center for Biotechnology	2012-02-07	2014-12-17	2015-04-24		NC_016887	FO082843	refseq
Nocardia farcinica IFM 10152	nfa	6,281	6,292,344	3	Department of Bioactive Molecules, National Institute of Infectious Diseases	Proc. Natl. Acad. Sci. U.S.A. 101, 14925-14930 (2004)	2004-10-04	2015-02-07	2016-05-19		NC_006361,NC_006362,NC_006363	AP006618,AP006619,AP006620	refseq
Nocardia nova SH22a	nno	7,413	8,348,532	1		Appl. Environ. Microbiol. 80 (13), 3895-3907 (2014)	2014-01-27	2015-02-07	2016-05-19		NZ_CP006850	CP006850	gbk
Rhodococcus aetherivorans IcdP1	rav	4,988	5,922,748	1		Unpublished	2015-04-30	2015-05-13	2016-05-19		NC_007243		gbk
Rhodococcus equi 103S	req	4,540	5,043,170	1	Centre for Infectious Diseases, University of Edinburgh	PLoS Genet. 6 (9) (2010)	2010-11-11	2015-02-07	2016-05-19		NC_014659	FN563149	refseq
Rhodococcus erythropolis BG43	gm04513	6,255	6,865,205	4		Unpublished	2015-04-21	2015-04-23	2016-05-19		NZ_CP011295,NZ_CP011296,NZ_CP011297,NZ_CP011298	CP011295,CP011296,CP011297,CP011298	refseq
Rhodococcus erythropolis CCM2595	rey	5,775	6,371,421	2		Unpublished	2013-08-22	2015-02-07	2016-05-19		NC_022115,NC_022125	CP003761,CP003762	refseq
Rhodococcus erythropolis PR4	rer	6,609	6,895,538	4	NITE	Environ. Microbiol. 8 (2), 334-346 (2006)	2009-04-01	2015-02-07	2016-05-19		NC_007491,NC_007486,NC_007487,NC_012490	AP008931,AP008932,AP008933,AP008957	refseq
Rhodococcus sp. RHA1	rha	9,287	9,702,737	4	University of British Columbia, Canada	Unpublished	2006-07-31	2015-02-07	2016-05-19		NC_008268,NC_008269,NC_008270,NC_008271	CP000431,CP000432,CP000433,CP000434	refseq
Rhodococcus opacus R7	gm03151	8,357	10,118,052	6		Genome Announc 2 (4) (2014)	2014-07-30	2014-09-25	2015-04-24			CP008947,CP008948,CP008949,CP008950,CP008951,CP008952	gbk
Rhodococcus opacus B4	rop	8,485	8,834,939	6	National Institute of Technology and Evaluation	Unpublished	2009-04-01	2015-02-24	2016-05-19		NC_012522,NC_012520,NC_012521,NC_012523,NC_006969,NC_006970	AP011115,AP011116,AP011117,AP011118,AP011119,AP011120	refseq
Rhodococcus opacus PD630	roa	7,952	9,169,032	10		Unpublished	2014-02-28	2015-03-01	2016-05-19		NZ_CP003949,NZ_CP003950,NZ_CP003951,NZ_CP003952,NZ_CP003953,NZ_CP003954,NZ_CP003955,NZ_CP003956,NZ_CP003957,NZ_CP003958	CP003949,CP003950,CP003951,CP003952,CP003953,CP003954,CP003955,CP003956,CP003957,CP003958	gbk
Rhodococcus pyridinivorans SB3094	rpy	4,635	5,590,512	3		Unpublished	2013-12-20	2015-02-07	2016-05-19		NC_023150,NC_023144,NC_023145	CP006996,CP006997,CP006998	refseq
Rhodococcus sp. B7740	gm04514	4,862	5,341,557	1		Unpublished	2015-03-17	2015-03-19	2016-05-19		NZ_CP010797	CP010797	refseq
Segniliparus rotundus DSM 44985	srt	3,311	3,157,527	1	DOE Joint Genome Institute	Unpublished	2010-05-18	2015-02-07	2016-05-19		NC_014168	CP001958	refseq
Tsukamurella paurometabola DSM 20162	tpr	4,715	4,479,724	2	DOE Joint Genome Institute	Unpublished	2009-04-28	2015-02-07	2016-05-19		NC_014158,NC_014159	CP001966,CP001967	refseq
Frankia alni ACN14A	fal	6,700	7,497,934	1	Genoscope	Unpublished	2006-08-03	2015-02-07	2016-05-19		NC_008278	CT573213	refseq
Frankia sp. CcI3	fra	5,200	5,433,628	1	DOE Joint Genome Institute	Unpublished	2006-02-07	2015-02-07	2016-05-19		NC_007777	CP000249	refseq
Frankia sp. EAN1.pec	fre	8,052	8,982,042	1	DOE Joint Genome Institute	Unpublished	2007-10-10	2015-02-07	2016-05-19		NC_009921	CP000820	refseq
Frankia sp. EuI1c	fri	8,024	8,815,781	1	DOE Joint Genome Institute	Unpublished	2009-12-10	2015-02-07	2016-05-19		NC_014666	CP002299	refseq
Frankia symbiont of Datisca glomerata 4085684	fsy	5,269	5,340,989	3	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2010-02-23	2015-02-24	2016-05-19		NC_015656,NC_015664,NC_015657	CP002801,CP002802,CP002803	refseq
Blastococcus saxobsidens DD2	bsd	4,465	4,875,340	1	CEA-IG-Genoscope	Submitted (29-FEB-2012) National Center for Biotechnology	2012-02-28	2015-02-07	2016-05-19		NC_016943	FO117623	refseq
Geodermatophilus obscurus DSM 43160	gob	5,431	5,322,497	1	DOE Joint Genome Institute	Unpublished	2009-04-20	2015-02-07	2016-05-19		NC_013757	CP001867	refseq
Modestobacter marinus BC501	mmar	5,148	5,575,517	1	CEA-IG Genoscope	J. Bacteriol. 194 (17), 4773-4774 (2012)	2012-05-24	2015-02-07	2016-05-19		NC_017955	FO203431	refseq
Stackebrandtia nassauensis DSM 44728	sna	7,250	6,841,557	1	DOE Joint Genome Institute	Unpublished	2009-05-08	2015-02-07	2016-05-19		NC_013947	CP001778	refseq
Kineococcus radiotolerans SRS30216	kra	5,311	4,956,672	3	DOE Joint Genome Institute	Unpublished	2007-07-10	2015-02-07	2016-05-19		NC_009664,NC_009806,NC_009660	CP000750,CP000751,CP000752	refseq
Beutenbergia cavernae DSM 12333	bcv	4,699	4,669,183	1	DOE Joint Genome Institute	Unpublished	2009-05-07	2015-02-23	2016-05-19		NC_012669	CP001618	refseq
Cellulomonas fimi ATCC 484	cfi	4,140	4,266,344	1	US DOE Joint Genome Institute	Unpublished	2011-05-09	2015-02-07	2016-05-19		NC_015514	CP002666	refseq
Cellulomonas flavigena DSM 20109	cfl	4,072	4,123,179	1	DOE Joint Genome Institute	Unpublished	2009-04-30	2015-02-24	2016-05-19		NC_014151	CP001964	refseq
Cellvibrio gilvus ATCC 13127	cga	3,441	3,526,441	1	US DOE Joint Genome Institute	Unpublished	2011-06-15	2015-02-07	2016-05-19		NC_015671	CP002665	refseq
Brachybacterium faecium DSM 4810	bfa	3,097	3,614,992	1	DOE Joint Genome Institute	Unpublished	2009-06-09	2014-12-18	2015-04-24		NC_013172	CP001643	refseq
Dermacoccus nishinomiyaensis M25	dni	2,698	3,113,642	2		Unpublished	2014-07-14	2015-02-07	2016-05-19		NZ_CP008889,NZ_CP008890	CP008889,CP008890	gbk
Kytococcus sedentarius DSM 20547	kse	2,984	2,785,024	1	DOE Joint Genome Institute	Unpublished	2009-06-26	2015-02-07	2016-05-19		NC_013169	CP001686	refseq
Intrasporangium calvum DSM 43043	ica	3,942	4,024,382	1	US DOE Joint Genome Institute (JGI-PGF)	Stand Genomic Sci 3 (3), 294-303 (2010)	2010-12-29	2015-02-07	2016-05-19		NC_014830	CP002343	refseq
Jonesia denitrificans DSM 20603	jde	2,828	2,749,646	1	DOE Joint Genome Institute	Unpublished	2009-08-27	2015-02-07	2016-05-19		NC_013174	CP001706	refseq
Clavibacter michiganensis subsp. insidiosus R1-1	gm04034	3,096	3,408,062	4		Unpublished	2015-03-20	2015-03-24	2016-05-19		NZ_CP011043,NZ_CP011044,NZ_CP011045,NZ_CP011046	CP011043,CP011044,CP011045,CP011046	refseq
Clavibacter michiganensis subsp. michiganensis NCPPB 382	cmi	3,265	3,395,237	3	Bielefeld Univ	Unpublished	2007-05-18	2015-02-24	2016-05-19		NC_009478,NC_009479,NC_009480	AM711865,AM711866,AM711867	refseq
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581 type strain: NCPPB 2581	cmc	2,817	3,063,596	1	Department of Microbiology, University of Bielefeld	Unpublished	2013-04-01	2015-02-07	2016-05-19		NC_020891	HE614873	refseq
Clavibacter michiganensis ATCC33113	cms	3,353	3,403,786	3	Welcome Trust Sanger Institute	J. Bacteriol. (2008) In press	2008-02-26	2015-02-07	2016-05-19		NC_010407,NC_010399,NC_010408	AM849034,AM849035,AM849036	refseq
Leifsonia xyli subsp. cynodontis DSM 46306	lxy	2,141	2,686,418	1		Unpublished	2013-09-24	2015-03-01	2016-05-19		NC_022438	CP006734	refseq
Leifsonia xyli CTCB07	lxx	2,612	2,584,158	1	Sao Paulo state (Brazil) Consortium	Mol. Plant Microbe Interact. 17 (8), 827-836 (2004)	2004-08-04	2015-02-07	2016-05-19		NC_006087	AE016822	refseq
Rhodoluna lacicola MWH-Ta8	rla	1,351	1,430,433	1		Int. J. Syst. Evol. Microbiol. 64 (9), 3254-3263 (2014)	2014-06-09	2015-02-07	2016-05-19		NZ_CP007490	CP007490	gbk
Microbacterium testaceum StLB037	mts	3,946	3,982,034	1	Utsunomiya university, Faculty of Agriculture, Japan	J. Bacteriol. 193 (8), 2072-2073 (2011)	2011-02-10	2015-02-23	2016-05-19		NC_015125	AP012052	refseq
